# t 86400.0 (s)
# nu(Hz)   Fnu(mJy)
1.000000e+00 2.912143e-03
1.592283e+00 3.400578e-03
2.535364e+00 3.970936e-03
4.037017e+00 4.636955e-03
6.428073e+00 5.414682e-03
1.023531e+01 6.322852e-03
1.629751e+01 7.383344e-03
2.595024e+01 8.621705e-03
4.132012e+01 1.006777e-02
6.579332e+01 1.175637e-02
1.047616e+02 1.372819e-02
1.668101e+02 1.603074e-02
2.656088e+02 1.871947e-02
4.229243e+02 2.185917e-02
6.734151e+02 2.552546e-02
1.072267e+03 2.980669e-02
1.707353e+03 3.480597e-02
2.718588e+03 4.064376e-02
4.328761e+03 4.746068e-02
6.892612e+03 5.542095e-02
1.097499e+04 6.471636e-02
1.747528e+04 7.557082e-02
2.782559e+04 8.824583e-02
4.430621e+04 1.030467e-01
7.054802e+04 1.203301e-01
1.123324e+05 1.405123e-01
1.788650e+05 1.640796e-01
2.848036e+05 1.915996e-01
4.534879e+05 2.237353e-01
7.220809e+05 2.612610e-01
1.149757e+06 3.050807e-01
1.830738e+06 3.562499e-01
2.915053e+06 4.160015e-01
4.641589e+06 4.857747e-01
7.390722e+06 5.672506e-01
1.176812e+07 6.623920e-01
1.873817e+07 7.734908e-01
2.983647e+07 9.032234e-01
4.750810e+07 1.054715e+00
7.564633e+07 1.231616e+00
1.204504e+08 1.438187e+00
1.917910e+08 1.679405e+00
3.053856e+08 1.961081e+00
4.862602e+08 2.290001e+00
7.742637e+08 2.674088e+00
1.232847e+09 3.122596e+00
1.963041e+09 3.646329e+00
3.125716e+09 4.257904e+00
4.977024e+09 4.972055e+00
7.924829e+09 5.805986e+00
1.261857e+10 6.779787e+00
2.009233e+10 7.916918e+00
3.199267e+10 9.244772e+00
5.094138e+10 1.079534e+01
8.111308e+10 1.260597e+01
1.291550e+11 1.440335e+01
2.056512e+11 1.489559e+01
3.274549e+11 1.412126e+01
5.214008e+11 1.268589e+01
8.302176e+11 1.094039e+01
1.321941e+12 9.123323e+00
2.104904e+12 7.366737e+00
3.351603e+12 5.775064e+00
5.336699e+12 4.453313e+00
8.497534e+12 3.392942e+00
1.353048e+13 2.571875e+00
2.154435e+13 1.946115e+00
3.430469e+13 1.472201e+00
5.462277e+13 1.113527e+00
8.697490e+13 8.412717e-01
1.384886e+14 6.230319e-01
2.205131e+14 3.821583e-01
3.511192e+14 2.290979e-01
5.590810e+14 1.373406e-01
8.902151e+14 8.233350e-02
1.417474e+15 4.935764e-02
2.257020e+15 2.958913e-02
3.593814e+15 1.773822e-02
5.722368e+15 1.063378e-02
9.111628e+15 6.374784e-03
1.450829e+16 3.821583e-03
2.310130e+16 2.290979e-03
3.678380e+16 1.373406e-03
5.857021e+16 8.233350e-04
9.326033e+16 4.935764e-04
1.484968e+17 2.958913e-04
2.364489e+17 1.773822e-04
3.764936e+17 1.063378e-04
5.994843e+17 6.374784e-05
9.545485e+17 3.821583e-05
1.519911e+18 2.290979e-05
2.420128e+18 1.373406e-05
3.853529e+18 8.233350e-06
6.135907e+18 4.935764e-06
9.770100e+18 2.958913e-06
1.555676e+19 1.773822e-06
2.477076e+19 1.063378e-06
3.944206e+19 6.374784e-07
6.280291e+19 3.821583e-07
1.000000e+20 2.290979e-07
