,t,strain*1e+21
0,-0.0464,-0.1866
1,-0.0462,-0.1278
2,-0.0459,-0.0219
3,-0.0457,0.0925
4,-0.0454,0.1731
5,-0.0452,0.1899
6,-0.0450,0.1361
7,-0.0447,0.0313
8,-0.0445,-0.0857
9,-0.0442,-0.1709
10,-0.0440,-0.1919
11,-0.0437,-0.1404
12,-0.0435,-0.0354
13,-0.0432,0.0835
14,-0.0430,0.1710
15,-0.0428,0.1932
16,-0.0425,0.1410
17,-0.0423,0.0341
18,-0.0420,-0.0865
19,-0.0418,-0.1739
20,-0.0415,-0.1937
21,-0.0413,-0.1375
22,-0.0411,-0.0269
23,-0.0408,0.0948
24,-0.0406,0.1794
25,-0.0403,0.1928
26,-0.0401,0.1291
27,-0.0398,0.0133
28,-0.0396,-0.1085
29,-0.0393,-0.1868
30,-0.0391,-0.1895
31,-0.0389,-0.1149
32,-0.0386,0.0071
33,-0.0384,0.1267
34,-0.0381,0.1946
35,-0.0379,0.1821
36,-0.0376,0.0937
37,-0.0374,-0.0342
38,-0.0371,-0.1483
39,-0.0369,-0.2005
40,-0.0367,-0.1681
41,-0.0364,-0.0641
42,-0.0362,0.0678
43,-0.0359,0.1712
44,-0.0357,0.2014
45,-0.0354,0.1448
46,-0.0352,0.0250
47,-0.0349,-0.1063
48,-0.0347,-0.1917
49,-0.0345,-0.1931
50,-0.0342,-0.1093
51,-0.0340,0.0236
52,-0.0337,0.1465
53,-0.0335,0.2045
54,-0.0332,0.1707
55,-0.0330,0.0596
56,-0.0328,-0.0792
57,-0.0325,-0.1826
58,-0.0323,-0.2028
59,-0.0320,-0.1297
60,-0.0318,0.0038
61,-0.0315,0.1362
62,-0.0313,0.2057
63,-0.0310,0.1790
64,-0.0308,0.0678
65,-0.0306,-0.0762
66,-0.0303,-0.1847
67,-0.0301,-0.2054
68,-0.0298,-0.1273
69,-0.0296,0.0127
70,-0.0293,0.1474
71,-0.0291,0.2108
72,-0.0288,0.1711
73,-0.0286,0.0466
74,-0.0284,-0.1017
75,-0.0281,-0.2002
76,-0.0279,-0.1988
77,-0.0276,-0.0971
78,-0.0274,0.0545
79,-0.0271,0.1792
80,-0.0269,0.2128
81,-0.0266,0.1367
82,-0.0264,-0.0107
83,-0.0262,-0.1534
84,-0.0259,-0.2166
85,-0.0257,-0.1659
86,-0.0254,-0.0268
87,-0.0252,0.1275
88,-0.0249,0.2144
