,t,strain*1e+21
0,-0.8151,-0.1847
1,-0.8148,-0.1833
2,-0.8146,-0.1816
3,-0.8143,-0.1799
4,-0.8141,-0.1779
5,-0.8139,-0.1758
6,-0.8136,-0.1735
7,-0.8134,-0.1711
8,-0.8131,-0.1685
9,-0.8129,-0.1657
10,-0.8126,-0.1628
11,-0.8124,-0.1597
12,-0.8121,-0.1565
13,-0.8119,-0.1531
14,-0.8117,-0.1496
15,-0.8114,-0.1459
16,-0.8112,-0.1421
17,-0.8109,-0.1381
18,-0.8107,-0.1341
19,-0.8104,-0.1299
20,-0.8102,-0.1255
21,-0.8099,-0.1211
22,-0.8097,-0.1165
23,-0.8095,-0.1119
24,-0.8092,-0.1071
25,-0.8090,-0.1022
26,-0.8087,-0.0972
27,-0.8085,-0.0922
28,-0.8082,-0.0870
29,-0.8080,-0.0818
30,-0.8078,-0.0764
31,-0.8075,-0.0710
32,-0.8073,-0.0656
33,-0.8070,-0.0601
34,-0.8068,-0.0545
35,-0.8065,-0.0488
36,-0.8063,-0.0431
37,-0.8060,-0.0374
38,-0.8058,-0.0317
39,-0.8056,-0.0259
40,-0.8053,-0.0200
41,-0.8051,-0.0142
42,-0.8048,-0.0083
43,-0.8046,-0.0025
44,-0.8043,0.0034
45,-0.8041,0.0093
46,-0.8038,0.0151
47,-0.8036,0.0210
48,-0.8034,0.0268
49,-0.8031,0.0326
50,-0.8029,0.0384
51,-0.8026,0.0441
52,-0.8024,0.0498
53,-0.8021,0.0555
54,-0.8019,0.0611
55,-0.8016,0.0666
56,-0.8014,0.0721
57,-0.8012,0.0775
58,-0.8009,0.0829
59,-0.8007,0.0881
60,-0.8004,0.0933
61,-0.8002,0.0984
62,-0.7999,0.1034
63,-0.7997,0.1083
64,-0.7994,0.1131
65,-0.7992,0.1178
66,-0.7990,0.1224
67,-0.7987,0.1269
68,-0.7985,0.1312
69,-0.7982,0.1354
70,-0.7980,0.1395
71,-0.7977,0.1435
72,-0.7975,0.1473
73,-0.7973,0.1510
74,-0.7970,0.1546
75,-0.7968,0.1579
76,-0.7965,0.1612
77,-0.7963,0.1643
78,-0.7960,0.1672
79,-0.7958,0.1700
80,-0.7955,0.1726
81,-0.7953,0.1751
82,-0.7951,0.1773
83,-0.7948,0.1795
84,-0.7946,0.1814
85,-0.7943,0.1832
86,-0.7941,0.1848
87,-0.7938,0.1862
88,-0.7936,0.1874
89,-0.7933,0.1885
90,-0.7931,0.1894
91,-0.7929,0.1901
92,-0.7926,0.1906
93,-0.7924,0.1909
94,-0.7921,0.1911
95,-0.7919,0.1910
96,-0.7916,0.1908
97,-0.7914,0.1904
98,-0.7911,0.1898
99,-0.7909,0.1891
100,-0.7907,0.1881
101,-0.7904,0.1870
102,-0.7902,0.1857
103,-0.7899,0.1842
104,-0.7897,0.1825
105,-0.7894,0.1807
106,-0.7892,0.1787
107,-0.7890,0.1765
108,-0.7887,0.1741
109,-0.7885,0.1716
110,-0.7882,0.1689
111,-0.7880,0.1661
112,-0.7877,0.1631
113,-0.7875,0.1599
114,-0.7872,0.1566
115,-0.7870,0.1531
116,-0.7868,0.1495
117,-0.7865,0.1457
118,-0.7863,0.1418
119,-0.7860,0.1377
120,-0.7858,0.1335
121,-0.7855,0.1292
122,-0.7853,0.1248
123,-0.7850,0.1202
124,-0.7848,0.1155
125,-0.7846,0.1107
126,-0.7843,0.1058
127,-0.7841,0.1008
128,-0.7838,0.0957
129,-0.7836,0.0906
130,-0.7833,0.0853
131,-0.7831,0.0799
132,-0.7828,0.0745
133,-0.7826,0.0689
134,-0.7824,0.0633
135,-0.7821,0.0577
136,-0.7819,0.0520
137,-0.7816,0.0462
138,-0.7814,0.0404
139,-0.7811,0.0346
140,-0.7809,0.0287
141,-0.7807,0.0228
142,-0.7804,0.0169
143,-0.7802,0.0109
144,-0.7799,0.0050
145,-0.7797,-0.0010
146,-0.7794,-0.0070
147,-0.7792,-0.0129
148,-0.7789,-0.0189
149,-0.7787,-0.0248
150,-0.7785,-0.0307
151,-0.7782,-0.0366
152,-0.7780,-0.0425
153,-0.7777,-0.0483
154,-0.7775,-0.0540
155,-0.7772,-0.0598
156,-0.7770,-0.0654
157,-0.7767,-0.0710
158,-0.7765,-0.0765
159,-0.7763,-0.0820
160,-0.7760,-0.0874
161,-0.7758,-0.0926
162,-0.7755,-0.0979
163,-0.7753,-0.1030
164,-0.7750,-0.1080
165,-0.7748,-0.1129
166,-0.7745,-0.1177
167,-0.7743,-0.1224
168,-0.7741,-0.1269
169,-0.7738,-0.1314
170,-0.7736,-0.1357
171,-0.7733,-0.1399
172,-0.7731,-0.1439
173,-0.7728,-0.1478
174,-0.7726,-0.1516
175,-0.7724,-0.1552
176,-0.7721,-0.1587
177,-0.7719,-0.1620
178,-0.7716,-0.1651
179,-0.7714,-0.1681
180,-0.7711,-0.1710
181,-0.7709,-0.1736
182,-0.7706,-0.1761
183,-0.7704,-0.1785
184,-0.7702,-0.1806
185,-0.7699,-0.1826
186,-0.7697,-0.1844
187,-0.7694,-0.1860
188,-0.7692,-0.1875
189,-0.7689,-0.1887
190,-0.7687,-0.1898
191,-0.7684,-0.1907
192,-0.7682,-0.1914
193,-0.7680,-0.1919
194,-0.7677,-0.1922
195,-0.7675,-0.1923
196,-0.7672,-0.1923
197,-0.7670,-0.1920
198,-0.7667,-0.1916
199,-0.7665,-0.1910
200,-0.7662,-0.1902
201,-0.7660,-0.1892
202,-0.7658,-0.1880
203,-0.7655,-0.1867
204,-0.7653,-0.1851
205,-0.7650,-0.1834
206,-0.7648,-0.1815
207,-0.7645,-0.1794
208,-0.7643,-0.1771
209,-0.7640,-0.1747
