t,strain*1e21
-4.0946,-0.1059
-4.0944,-0.1055
-4.0941,-0.1049
-4.0939,-0.1042
-4.0936,-0.1035
-4.0934,-0.1026
-4.0931,-0.1016
-4.0929,-0.1006
-4.0927,-0.0994
-4.0924,-0.0982
-4.0922,-0.0969
-4.0919,-0.0954
-4.0917,-0.0939
-4.0914,-0.0923
-4.0912,-0.0906
-4.0909,-0.0888
-4.0907,-0.0870
-4.0905,-0.0850
-4.0902,-0.0830
-4.0900,-0.0809
-4.0897,-0.0787
-4.0895,-0.0765
-4.0892,-0.0741
-4.0890,-0.0718
-4.0888,-0.0693
-4.0885,-0.0668
-4.0883,-0.0642
-4.0880,-0.0615
-4.0878,-0.0588
-4.0875,-0.0560
-4.0873,-0.0532
-4.0870,-0.0504
-4.0868,-0.0474
-4.0866,-0.0445
-4.0863,-0.0415
-4.0861,-0.0384
-4.0858,-0.0354
-4.0856,-0.0322
-4.0853,-0.0291
-4.0851,-0.0259
-4.0848,-0.0227
-4.0846,-0.0195
-4.0844,-0.0163
-4.0841,-0.0130
-4.0839,-0.0098
-4.0836,-0.0065
-4.0834,-0.0032
-4.0831,0.0001
-4.0829,0.0034
-4.0826,0.0066
-4.0824,0.0099
-4.0822,0.0132
-4.0819,0.0164
-4.0817,0.0197
-4.0814,0.0229
-4.0812,0.0261
-4.0809,0.0292
-4.0807,0.0324
-4.0805,0.0355
-4.0802,0.0386
-4.0800,0.0416
-4.0797,0.0446
-4.0795,0.0476
-4.0792,0.0505
-4.0790,0.0534
-4.0787,0.0562
-4.0785,0.0590
-4.0783,0.0617
-4.0780,0.0643
-4.0778,0.0669
-4.0775,0.0695
-4.0773,0.0719
-4.0770,0.0743
-4.0768,0.0767
-4.0765,0.0789
-4.0763,0.0811
-4.0761,0.0832
-4.0758,0.0852
-4.0756,0.0872
-4.0753,0.0890
-4.0751,0.0908
-4.0748,0.0925
-4.0746,0.0941
-4.0743,0.0956
-4.0741,0.0971
-4.0739,0.0984
-4.0736,0.0996
-4.0734,0.1008
-4.0731,0.1018
-4.0729,0.1028
-4.0726,0.1037
-4.0724,0.1044
-4.0721,0.1051
-4.0719,0.1056
-4.0717,0.1061
-4.0714,0.1065
-4.0712,0.1067
-4.0709,0.1069
-4.0707,0.1070
-4.0704,0.1069
-4.0702,0.1068
-4.0700,0.1065
-4.0697,0.1062
-4.0695,0.1058
-4.0692,0.1052
-4.0690,0.1046
-4.0687,0.1038
-4.0685,0.1030
-4.0682,0.1021
-4.0680,0.1010
-4.0678,0.0999
-4.0675,0.0987
-4.0673,0.0974
-4.0670,0.0959
-4.0668,0.0944
-4.0665,0.0929
-4.0663,0.0912
-4.0660,0.0894
-4.0658,0.0876
-4.0656,0.0856
-4.0653,0.0836
-4.0651,0.0815
-4.0648,0.0794
-4.0646,0.0771
-4.0643,0.0748
-4.0641,0.0724
-4.0638,0.0700
-4.0636,0.0674
-4.0634,0.0648
-4.0631,0.0622
-4.0629,0.0595
-4.0626,0.0567
-4.0624,0.0539
-4.0621,0.0510
-4.0619,0.0481
-4.0617,0.0452
-4.0614,0.0422
-4.0612,0.0391
-4.0609,0.0360
-4.0607,0.0329
-4.0604,0.0298
-4.0602,0.0266
-4.0599,0.0234
-4.0597,0.0202
-4.0595,0.0169
-4.0592,0.0137
-4.0590,0.0104
-4.0587,0.0071
-4.0585,0.0038
-4.0582,0.0005
-4.0580,-0.0028
-4.0577,-0.0061
-4.0575,-0.0094
-4.0573,-0.0126
-4.0570,-0.0159
-4.0568,-0.0192
-4.0565,-0.0224
-4.0563,-0.0256
-4.0560,-0.0288
-4.0558,-0.0319
-4.0555,-0.0351
-4.0553,-0.0382
-4.0551,-0.0412
-4.0548,-0.0443
-4.0546,-0.0472
-4.0543,-0.0502
-4.0541,-0.0531
-4.0538,-0.0559
-4.0536,-0.0587
-4.0534,-0.0614
-4.0531,-0.0641
-4.0529,-0.0667
-4.0526,-0.0692
-4.0524,-0.0717
-4.0521,-0.0741
-4.0519,-0.0765
-4.0516,-0.0788
-4.0514,-0.0810
-4.0512,-0.0831
-4.0509,-0.0851
-4.0507,-0.0871
-4.0504,-0.0890
-4.0502,-0.0908
-4.0499,-0.0925
-4.0497,-0.0941
-4.0494,-0.0956
-4.0492,-0.0971
-4.0490,-0.0984
-4.0487,-0.0997
-4.0485,-0.1008
-4.0482,-0.1019
-4.0480,-0.1029
-4.0477,-0.1037
-4.0475,-0.1045
-4.0472,-0.1052
-4.0470,-0.1058
-4.0468,-0.1062
-4.0465,-0.1066
-4.0463,-0.1069
-4.0460,-0.1070
-4.0458,-0.1071
-4.0455,-0.1071
-4.0453,-0.1069
-4.0450,-0.1067
-4.0448,-0.1064
-4.0446,-0.1059
-4.0443,-0.1054
-4.0441,-0.1048
-4.0438,-0.1040
-4.0436,-0.1032
-4.0433,-0.1022
-4.0431,-0.1012
-4.0429,-0.1001
-4.0426,-0.0989
-4.0424,-0.0975
-4.0421,-0.0961
-4.0419,-0.0946
-4.0416,-0.0930
-4.0414,-0.0914
-4.0411,-0.0896
-4.0409,-0.0877
-4.0407,-0.0858
-4.0404,-0.0838
-4.0402,-0.0817
-4.0399,-0.0795
-4.0397,-0.0773
-4.0394,-0.0749
-4.0392,-0.0725
-4.0389,-0.0701
-4.0387,-0.0675
-4.0385,-0.0649
-4.0382,-0.0623
-4.0380,-0.0596
-4.0377,-0.0568
-4.0375,-0.0540
-4.0372,-0.0511
-4.0370,-0.0482
-4.0367,-0.0452
-4.0365,-0.0422
-4.0363,-0.0391
-4.0360,-0.0360
-4.0358,-0.0329
-4.0355,-0.0297
-4.0353,-0.0265
-4.0350,-0.0233
-4.0348,-0.0201
-4.0346,-0.0168
-4.0343,-0.0135
-4.0341,-0.0103
