tstart,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,na,nb
-20.82,422.5,383.4,418.7,419.6,353.7,371.5,373.3,356.8,323.3,352.8,347.9,359.6
-19.80,413.6,427.6,448.1,353.9,388.1,393.2,374.3,345.9,326.2,372.3,346.1,347.8
-18.78,385.3,373.7,448.2,433.4,397.8,417.7,363.5,360.6,349.6,350.8,368.6,355.7
-17.75,409.9,354.0,409.8,386.3,359.6,416.7,372.3,337.1,283.1,382.1,337.2,328.2
-16.73,404.9,356.9,406.0,398.0,371.4,422.5,352.7,350.0,322.3,398.9,332.3,354.7
-15.70,408.9,396.2,430.5,424.5,388.1,392.1,367.4,380.2,340.9,348.8,366.6,311.6
-14.68,424.5,430.5,456.9,397.1,380.1,406.9,366.4,346.0,307.5,366.5,374.4,304.7
-13.66,427.5,392.3,367.6,399.1,346.9,397.1,369.4,359.7,379.2,381.2,336.2,352.6
-12.63,404.0,412.9,401.0,409.9,391.9,425.5,386.1,332.3,362.5,354.7,361.6,336.1
-11.61,403.0,412.0,406.0,371.5,369.4,397.1,373.3,358.8,331.0,366.6,367.6,333.1
-10.58,414.8,440.2,436.3,422.6,409.7,418.6,365.5,351.8,340.9,385.1,368.6,365.5
-9.56,429.5,412.0,415.8,410.8,392.9,418.6,404.6,356.7,361.4,348.9,347.0,356.7
-8.54,411.8,429.5,426.5,442.3,356.6,407.8,375.3,395.1,367.4,356.6,361.7,341.9
-7.51,442.3,457.1,382.4,409.9,406.6,430.4,388.0,377.3,313.5,348.8,366.5,351.8
-6.49,446.2,404.0,417.7,478.6,401.7,428.4,326.2,379.4,365.4,382.1,352.8,320.4
-5.46,430.4,402.2,416.7,410.8,402.8,417.7,391.0,373.5,344.8,401.9,358.8,378.3
-4.44,464.8,405.0,408.8,463.8,434.2,432.4,408.6,394.0,345.7,370.4,361.7,340.9
-3.42,447.2,384.4,392.3,431.5,411.5,420.6,330.2,396.9,355.6,368.5,371.5,344.9
-2.39,440.3,398.2,448.1,418.6,406.7,390.2,377.3,390.1,338.9,375.3,359.8,374.4
-1.37,399.0,418.8,411.9,412.8,455.8,401.9,375.2,379.3,337.0,359.6,342.2,327.2
-0.34,591.7,470.8,488.4,785.8,689.7,542.5,496.1,536.4,393.8,366.5,379.3,359.5
0.68,931.7,636.0,649.7,1264.8,1128.6,836.8,885.2,799.3,556.8,397.9,387.2,354.6
1.70,1016.3,604.6,681.2,1326.3,1166.8,906.5,848.1,879.9,588.2,362.5,389.2,386.0
2.73,982.0,610.5,641.9,1257.0,1158.0,900.7,823.5,824.6,513.6,387.1,372.5,349.7
3.75,981.3,602.7,724.5,1326.2,1105.9,824.1,852.4,893.8,557.0,392.9,361.6,349.8
4.78,858.0,584.0,587.8,1145.6,1040.0,800.4,799.8,753.1,500.0,342.0,384.3,336.0
5.80,821.3,536.7,589.6,1104.4,892.2,745.2,732.1,729.4,466.5,368.4,372.5,346.8
6.82,712.9,521.0,541.3,960.6,770.8,642.9,649.2,659.5,462.7,419.4,373.5,372.3
7.85,661.7,513.1,569.1,852.1,752.0,613.3,619.8,632.8,474.3,359.6,383.3,333.1
8.87,658.7,525.9,511.9,727.9,699.7,592.5,517.7,615.1,434.1,350.8,348.9,327.2
9.90,657.7,483.6,457.1,737.7,686.9,599.6,579.4,542.4,415.5,395.9,340.1,348.8
10.92,624.2,466.9,496.3,745.4,658.5,576.9,513.7,611.1,418.4,375.3,327.3,360.5
11.94,657.6,497.4,534.5,711.0,712.4,586.7,525.5,545.2,451.8,388.0,395.0,333.1
12.97,631.0,469.9,493.4,758.3,689.8,594.6,543.2,567.9,430.1,355.7,353.8,339.9
13.99,589.6,473.8,439.3,721.9,617.1,497.2,498.0,524.5,388.0,359.6,355.8,316.4
15.02,624.2,492.4,496.3,735.6,659.4,545.4,527.4,502.0,433.1,372.3,361.7,333.1
16.04,613.4,471.8,481.6,767.3,661.2,610.2,531.3,549.2,453.7,400.7,364.6,374.3
17.06,633.2,502.4,548.3,786.8,669.2,581.6,550.1,586.5,435.1,379.2,370.6,338.0
18.09,654.7,464.0,493.3,711.2,643.6,595.4,530.4,567.0,435.1,372.3,328.4,355.7
