tstart,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,na,nb
-2.05,329.0,219.3,219.3,298.0,109.6,250.6,329.0,250.8,329.2,392.0,266.6,250.8
-1.99,344.8,219.5,187.9,328.9,328.9,328.9,282.0,360.8,188.0,360.5,266.4,172.4
-1.92,360.4,360.4,235.0,313.7,281.9,328.9,282.3,329.4,329.2,344.8,266.4,501.9
-1.86,156.6,282.1,329.1,266.4,313.3,266.2,266.5,313.4,391.9,360.5,376.1,344.9
-1.79,329.0,187.9,360.5,266.4,281.9,234.8,297.7,266.5,329.0,329.1,329.1,360.5
-1.73,266.4,203.6,266.4,360.3,172.2,297.6,407.5,360.6,360.5,344.8,360.9,219.4
-1.67,360.5,282.1,219.4,297.8,281.8,281.8,328.9,376.4,219.3,438.8,313.7,172.4
-1.60,282.0,313.7,407.6,313.4,219.2,313.1,234.9,282.0,407.6,329.2,423.4,313.4
-1.54,344.8,313.6,454.2,235.1,234.8,172.3,407.4,266.4,297.8,423.0,266.5,360.8
-1.47,345.0,360.5,376.0,313.4,234.9,297.5,392.2,376.3,344.9,187.9,235.2,391.8
-1.41,328.9,360.5,235.0,313.5,297.6,219.2,391.8,329.4,219.4,344.9,297.9,376.0
-1.35,407.3,344.8,423.3,266.4,328.8,203.5,235.0,360.4,297.7,313.6,313.6,313.3
-1.28,344.7,282.1,376.2,297.6,250.6,266.2,407.6,313.4,360.7,313.3,313.4,297.7
-1.22,266.4,250.7,313.4,250.8,172.2,266.2,360.3,266.4,454.7,141.0,282.0,313.4
-1.15,313.5,329.1,235.1,470.5,203.6,250.6,282.1,360.4,376.2,281.9,376.1,344.6
-1.09,281.9,470.5,297.7,344.6,203.5,485.7,360.3,455.1,313.4,219.3,235.1,282.1
-1.03,423.2,282.1,360.5,360.6,297.4,266.2,281.9,329.5,329.2,297.7,297.9,423.3
-0.96,235.0,282.3,407.4,219.4,203.5,344.5,219.2,203.7,392.0,360.5,329.1,313.6
-0.90,313.4,297.7,219.4,250.7,344.5,203.7,281.9,408.1,376.4,407.5,392.0,313.4
-0.83,203.7,266.3,329.1,297.9,407.0,235.1,344.8,266.5,250.6,313.3,329.2,329.1
-0.77,282.0,313.4,391.9,360.4,266.1,313.2,344.7,329.2,439.2,376.3,392.0,203.8
-0.71,234.9,297.9,423.6,329.2,344.7,266.3,297.6,297.8,517.8,313.5,471.1,313.5
-0.64,313.3,235.1,219.5,329.0,219.3,360.3,281.9,408.0,313.5,250.7,203.6,486.2
-0.58,344.7,282.0,250.6,313.2,234.8,313.2,282.1,313.6,235.1,407.5,297.7,297.8
-0.51,203.7,297.8,423.2,235.1,250.7,266.2,375.9,329.4,439.1,329.1,470.5,235.2
-0.45,329.0,235.2,486.1,344.7,187.8,250.4,297.6,329.5,250.8,234.9,392.0,266.5
-0.39,250.7,329.2,329.1,360.5,344.5,360.4,344.8,391.9,344.8,297.7,360.7,313.7
-0.32,297.6,234.9,438.9,219.4,297.5,266.1,219.2,329.1,266.3,313.4,344.9,266.4
-0.26,281.9,313.7,454.5,188.0,391.5,266.2,438.8,329.3,423.5,313.4,141.1,329.3
-0.19,235.1,344.8,282.2,329.2,250.5,328.9,282.0,313.7,282.3,360.5,219.4,329.2
-0.13,203.7,282.0,282.2,329.2,250.5,250.5,329.0,266.6,329.0,219.4,297.8,282.0
-0.07,611.8,533.4,549.4,423.4,329.1,438.8,376.0,313.8,360.5,423.0,376.4,282.0
-0.00,3214.5,3781.7,3617.0,1716.1,1713.6,3008.2,376.1,627.7,486.0,1874.1,1289.0,1005.8
0.06,2927.5,3091.5,2927.8,1639.3,1667.6,2942.2,438.9,580.3,501.9,1986.1,1117.5,1147.5
0.13,3583.3,4197.1,3667.1,2382.9,1604.0,3483.6,470.2,423.4,564.5,2081.2,1164.2,1131.4
0.19,753.6,769.3,864.4,627.2,501.5,769.2,313.3,251.0,329.2,407.9,407.8,376.3
0.25,1069.4,1037.8,864.7,611.6,344.7,1036.6,250.6,313.5,423.5,784.8,486.1,188.0
0.32,282.1,329.1,376.4,313.6,219.1,313.4,344.8,282.2,266.3,219.4,329.2,282.0
0.38,407.4,313.6,250.7,344.8,281.8,172.2,297.9,329.2,298.0,360.5,360.7,297.6
0.45,297.7,219.4,360.5,282.2,297.7,328.9,234.9,392.1,360.4,297.9,250.8,266.5
0.51,203.8,313.4,329.0,313.4,297.4,376.0,250.7,235.0,344.8,423.2,313.4,313.4
