Name,Include,Reference,z,#NAME?,#NAME?
Planck (2020),1,Planck Aghanim et al. (2020b),67.27,0.6,-0.6
Planck2,0,Aghanim et al. (2020b),67.36,0.54,-0.54
"BAO, Pantheon, BBN, θMC",1, Planck Aghanim et al. (2020b),67.9,0.8,-0.8
Dark Energy Survey (2018),1,BBN Abbott et al. (2018),67.2,1.2,-1
Atacama Cosmology Telescope (2020),1,ACT Aiola et al. (2020),67.9,1.5,-1.5
WMAP (2018),1,BAO Addison et al. (2018),68.2,0.7,-0.7
South Pole Telescope (2018),1,BAO Addison et al. (2018),68.3,0.9,-0.9
FS + BAO + BBN,0,Philcox et al. (2020),68.6,1.1,-1.1
Ceiphid Variables (2020),1,Riess et al. (2020),73.2,1.3,-1.3
Ceophids (2),0,Breuval et al. (2020),73,2.7,-2.7
Ceophids (3),0,R19,74.03,1.42,-1.42
Ceophids (4),0,Burns et al. (2018),73.2,2.3,-2.3
Ceophids (5),0,Freedman et al. (2012),74.3,2.1,-2.1
"Supernovae (""020)Soltis",0, Casertano & Riess (2020),72.1,2,-2
Freedman,0,Freedman et al. (2020),69.6,1.88,-1.88
Yuan,0,Yuan et al. (2019),72.4,2,-2
Jang & Liee,0,Jang & Lee (2017),71.17,2.5,-2.5
"Reid, Pesce & Riess",0,"Reid, Pesce & Riess (2019)",71.1,1.9,-1.9
Miras,0,Huang et al. (2020),73.3,4,-4
Masers,1,Pesce et al. (2020),73.9,3,-3
Galaxy rotations,1,Kourkchi et al. (2020),76,2.55,-2.55
"Schombert, McGaugh & Lelli",0,"Schombert, McGaugh & Lelli (2020)",75.1,2.75,-2.75
Brightness fluctuations,1,Blakeslee et al. (2021),73.3,2.5,-2.5
Khetan,0,Khetan et al. (2020),70.5,4.1,-4.1
Core-collapse supernovae,1,de Jaeger et al. (2020),75.8,5.2,-4.9
Wong,0,Wong et al. (2020),73.3,1.7,-1.8
Shajib,0,Shajib et al. (2020),74.2,2.7,-3
Birrer,0,Birrer et al. (2020),74.5,5.6,-6.1
Birrer2,0,Birrer et al. (2020),67.4,4.2,-3.2
Standard Sirens,0,Abbott et al. (2017),70,12,-8
Gamma rays,1,Domínguez et al. (2019),67.4,6,-6.2
