t,strain*1e+21
0.3401,0.0876
0.3402,0.1294
0.3403,0.1607
0.3404,0.1832
0.3406,0.0539
0.3407,0.1340
0.3408,0.1556
0.3409,0.1083
0.3411,-0.2042
0.3412,-0.1509
0.3413,-0.1346
0.3414,-0.2774
0.3415,-0.1140
0.3417,-0.2965
0.3418,-0.0328
0.3419,-0.0946
0.3420,0.1285
0.3422,-0.1469
0.3423,0.1502
0.3424,0.1085
0.3425,0.0355
0.3426,0.0134
0.3428,0.2706
0.3429,0.2579
0.3430,0.1737
0.3431,0.0862
0.3433,0.2825
0.3434,0.1153
0.3435,0.0243
0.3436,-0.0111
0.3437,-0.1915
0.3439,-0.1471
0.3440,-0.1850
0.3441,-0.2052
0.3442,-0.1093
0.3443,-0.2347
0.3445,-0.1901
0.3446,-0.2118
0.3447,0.0319
0.3448,-0.0369
0.3450,-0.0350
0.3451,0.0694
0.3452,0.1677
0.3453,0.2243
0.3454,0.2192
0.3456,0.3041
0.3457,0.3015
0.3458,-0.0442
0.3459,0.2628
0.3461,-0.0513
0.3462,0.0149
0.3463,-0.1441
0.3464,-0.1223
0.3465,-0.2868
0.3467,-0.3345
0.3468,-0.1901
0.3469,-0.2090
0.3470,-0.1312
0.3472,-0.1038
0.3473,0.1290
0.3474,0.0038
0.3475,0.1008
0.3476,0.1456
0.3478,0.1856
0.3479,0.3096
0.3480,0.2133
0.3481,0.1934
0.3483,0.1287
0.3484,0.2123
0.3485,0.0441
0.3486,-0.1915
0.3487,-0.2421
0.3489,-0.1059
0.3490,-0.3516
0.3491,-0.1710
0.3492,-0.1932
0.3494,-0.2863
0.3495,-0.2779
0.3496,-0.2008
0.3497,-0.0170
0.3498,-0.0686
0.3500,0.0086
0.3501,0.1163
0.3502,0.0813
0.3503,0.1097
0.3505,0.0822
0.3506,0.1975
0.3507,0.1591
0.3508,0.2806
0.3509,0.0894
0.3511,0.1091
0.3512,-0.0605
0.3513,-0.2244
0.3514,-0.1611
0.3516,-0.1361
0.3517,0.0215
0.3518,-0.2916
0.3519,-0.2942
0.3520,-0.0758
0.3522,-0.0544
0.3523,-0.0883
0.3524,0.0125
0.3525,0.2375
0.3527,-0.0036
0.3528,0.4397
0.3529,0.0273
0.3530,0.2665
0.3531,0.2602
0.3533,0.2001
0.3534,0.0300
0.3535,0.1475
0.3536,-0.0849
0.3537,-0.0593
0.3539,-0.2561
0.3540,-0.1751
0.3541,-0.2332
0.3542,-0.2761
0.3544,-0.2664
0.3545,-0.0627
0.3546,0.0308
0.3547,-0.1632
0.3548,-0.0288
0.3550,0.2054
0.3551,0.2812
0.3552,0.3075
0.3553,0.2246
0.3555,0.0992
0.3556,0.0317
0.3557,0.1489
0.3558,0.1080
0.3559,-0.0714
0.3561,-0.1429
0.3562,-0.0850
0.3563,-0.1557
0.3564,-0.1661
0.3566,-0.0943
0.3567,0.1016
0.3568,-0.2839
0.3569,-0.1053
0.3570,-0.1870
0.3572,0.0303
0.3573,0.0206
0.3574,0.2327
0.3575,0.1830
0.3577,0.2461
0.3578,0.3238
0.3579,0.1035
0.3580,0.1611
0.3581,0.0602
0.3583,-0.0950
0.3584,-0.0538
0.3585,-0.1647
0.3586,-0.2377
0.3588,-0.3466
0.3589,-0.1319
0.3590,-0.3094
0.3591,-0.0463
0.3592,-0.2151
0.3594,-0.0134
0.3595,-0.0544
0.3596,0.1080
0.3597,0.1350
0.3599,0.1123
0.3600,0.0726
0.3601,0.0679
0.3602,0.0978
0.3603,0.2453
0.3605,0.1147
0.3606,0.0724
0.3607,-0.1446
0.3608,-0.1031
0.3610,-0.3995
0.3611,-0.0924
0.3612,-0.1863
0.3613,-0.3370
0.3614,-0.1547
0.3616,-0.0597
0.3617,-0.2434
0.3618,0.0247
0.3619,0.2103
0.3620,0.2663
0.3622,0.1316
0.3623,0.2242
0.3624,0.3152
0.3625,0.1819
0.3627,0.1722
0.3628,0.0423
0.3629,-0.1397
0.3630,-0.2355
0.3631,-0.1422
0.3633,-0.3105
0.3634,-0.1654
0.3635,-0.1134
0.3636,-0.2776
0.3638,-0.1681
0.3639,-0.1692
0.3640,0.1396
0.3641,0.2773
0.3642,0.2503
0.3644,0.2972
